Date,Inflation,Wage CPI,WTI,Heating Oil,Copper,Sugar,Natural Gas,Cattle,Lean Hogs,Soybeans,Lumber,Capacity Utilization,Corn,M2 Velocity,GDP,Wheat,PMI,USD Index,Unemployment Rate,Initial Jobless Claims
1991-04-30,-0.7629999999999999,0.004279794954845058,-0.2847265191364552,-0.26956866155708203,-0.04934991625123882,-0.08319331821815598,-0.33996900761737847,0.02411576970909898,0.03308005920386857,0.00841876994764969,0.05846159286653856,-0.017738381336427984,0.07801475139248759,0.00383351588170866,0.015191598325683175,0.06412632804397814,0.5333333333333338,0.04930700521311838,0.39999999999999974,32416.666666666668
1991-05-31,-0.359,0.00451845857527533,-0.1559258820901016,-0.23743208063155857,-0.04579938854701473,-0.07269384055713055,-0.20572166348118484,0.005489562129373281,0.07687141402768531,0.013359880825248681,0.14286257480251283,-0.009384217364502937,0.06062235195486468,0.00383351588170866,0.015191598325683175,0.10456496468743974,2.866666666666667,0.09192078481105936,0.36666666666666686,8666.666666666666
1991-07-31,-0.4399999999999995,0.007514853729980657,0.0253170318769362,-0.05671087393672019,-0.07698397167674871,-0.006859089959543752,-0.0779889454526022,-0.07397052634001645,0.0702878284260606,-0.03186802543841308,0.22196161698639974,0.013106708656802043,-0.028960811156813315,0.009274413529732684,0.012906280572338558,0.03863567327677866,7.5,0.08739789891125438,0.16666666666666696,-52750.0
1991-08-31,-1.1549999999999998,0.007250541801414527,0.0306769246704761,0.033425615419667376,-0.06253274557306736,0.06232142751917151,-0.0677504751937346,-0.0885379160317294,-0.013100836856527028,-0.03707697719550702,0.1502501897454366,0.014249420818794878,-0.02547799204068588,0.009274413529732684,0.012906280572338558,0.011643013770752594,8.6,0.050151976871651606,0.06666666666666672,-36416.666666666664
1991-09-30,-1.3049999999999997,0.006730786036162506,0.0447738314042308,0.09752979500718613,-0.006558511409051914,0.06646342601641379,0.06968415645717038,-0.06922729147927272,-0.09357789427251396,-0.020108918554232785,-0.00946881733064442,0.011035700229058568,-0.0032697729814252265,0.009274413529732684,0.012906280572338558,0.05117849293180687,6.9333333333333345,0.008747296400390459,0.033333333333333215,-15500.0
1991-10-31,-1.5270000000000006,0.006463965794244242,0.062152907159196226,0.142980368364294,0.0440019682539436,0.02541848937841586,0.3421620061740926,-0.03335228999608472,-0.1766975982588701,0.019259910495336367,-0.0945741222163293,0.0064421148031963416,0.03797536877827404,0.005945945945945885,0.009443054288176045,0.16022702910063852,5.166666666666667,-0.02310229943723378,0.06666666666666672,-3000.0
1991-11-30,-0.8089999999999997,0.0074427095817755085,0.06775175523202036,0.13906326662766777,0.06218033579795265,-0.018924132397695963,0.5131949380528849,0.01611539250625495,-0.19267570528662087,0.02056566962578059,-0.0827212891481516,0.004550586931219014,0.023463588323362317,0.005945945945945885,0.009443054288176045,0.21360939747921825,1.2333333333333343,-0.04438880991538666,0.09999999999999994,8000.0
1991-12-31,-0.32699999999999996,0.008168536079413998,0.01202933683069256,0.052991510572598884,0.015081567076389298,-0.03197440377120274,0.43311914380198463,0.02713858578347046,-0.15894001505587388,-0.004292114332651807,-0.01059011957776045,-0.0018942873925749486,0.011463804328858046,0.005945945945945885,0.009443054288176045,0.2426301953987449,-3.0,-0.05555648611353132,0.2333333333333331,17500.0
1992-01-31,-0.32099999999999973,0.008400214399757244,-0.08060023973472276,-0.07652663842807195,-0.04157985365014374,-0.027636732050400795,0.09213790156297123,0.029679453134633216,-0.12682378883221335,-0.017973724285934498,0.07589695508379747,-0.00832209840558562,-0.0002126574838357559,0.006985491671144706,0.01573331800898381,0.2111381155325242,-5.766666666666668,-0.05553536578806233,0.26666666666666633,20333.333333333332
1992-02-29,-0.17100000000000026,0.007146659256096181,-0.1449114791526601,-0.17036958277964898,-0.07049383075931936,-0.03386882326977022,-0.20800532757245535,0.02114367824917684,-0.07532526925091575,-0.00647695346629785,0.12013618760223461,-0.01150654061985601,0.02688706178677385,0.006985491671144706,0.01573331800898381,0.2036759844208004,-3.5666666666666678,-0.040871046601971606,0.36666666666666653,5833.333333333333
1992-03-31,0.121,0.00589686320453812,-0.13258337255282282,-0.16477463855540211,-0.04547529948897677,-0.05268265780699795,-0.3653329044432595,0.04577945786439982,-0.05019825235349528,0.027979271968200804,0.17900189993059493,-0.0063330298389811706,0.06457277872846191,0.006985491671144706,0.01573331800898381,0.1267784984379472,1.7333333333333343,-0.0038737412998108914,0.2666666666666669,-6250.0
1992-04-30,0.5800000000000001,0.005878761271830957,-0.04982399238078229,-0.07466670116365014,0.003262577386187525,-0.0008572191298449193,-0.22484898296414108,0.061374653482066874,0.01927920528837576,0.0368702691665053,0.18012328647155362,0.004528426886820647,0.053891403575478,0.016542155816435367,0.016919577903984573,0.033504662626902694,5.433333333333337,0.02839886996734819,0.20000000000000048,-15666.666666666666
1992-06-30,-0.09699999999999998,0.007567737773714667,0.11940180288993461,0.1022606962651782,0.028753330377507852,0.18137219953951414,0.2335638696155796,-0.018690193281096158,0.1424241203088588,0.03586429127965178,0.029383565600126844,0.011553418994787753,-0.02428428327853041,0.016542155816435367,0.016919577903984573,-0.11334771778687108,2.433333333333335,0.0035409377196343066,0.2333333333333331,-16833.333333333332
1992-07-31,-0.02300000000000013,0.008035808366751551,0.12366931948987764,0.11126089643139525,0.05613065072481563,0.15786411631141944,0.30428731783974794,-0.061192960804828965,0.1324900613182207,0.02095873212708705,-0.05173696516226234,0.008006407692346137,-0.05852019921457529,0.01364829396325451,0.014817108894267905,-0.11162354594817256,1.099999999999999,-0.041246542253351344,0.29999999999999954,-3833.3333333333335
